Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Zac Robinson,QB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Pat White,QB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
B.J. Daniels,QB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Sean Renfree,QB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Matt Scott,QB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Alex Tanney,QB,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Jimmy Clausen,QB,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Pat Devlin,QB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Jordan Palmer,QB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Tyler Bray,QB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Rusty Smith,QB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Dayne Crist,QB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
McLeod Bethel-Thompson,QB,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Jake Delhomme,QB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jonathan Dwyer,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Knile Davis,RB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Christine Michael,RB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Toby Gerhart,RB,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Rashad Jennings,RB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
LaRod Stephens-Howling,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
LaMichael James,RB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Robert Turbin,RB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Dexter McCluster,RB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Denard Robinson,RB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Mike Goodson,RB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Joseph Randle,RB,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Zac Stacy,RB,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Lance Dunbar,RB,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Ryan Williams,RB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
LeGarrette Blount,RB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Mike James,RB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Donald Brown,RB,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Justin Forsett,RB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Stepfan Taylor,RB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Mike Gillislee,RB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Jordan Todman,RB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Dion Lewis,RB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Charles Clay,RB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Ronnie Brown,RB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Chris Polk,RB,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
John Kuhn,RB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Jason Snelling,RB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Brandon Jackson,RB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
James Starks,RB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Andre Ellington,RB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Evan Royster,RB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Alfonso Smith,RB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Kenjon Barner,RB,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Alex Green,RB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Deji Karim,RB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Chris Ogbonnaya,RB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Phillip Tanner,RB,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
